provider,folder,official_downloaded_asset_count,fallback_asset_file_count,source_url_count,has_actual_asset_files,download_status_from_source_list
OpenAI,01_openai,1,6,2,True,assets_available_on_page
Anthropic,02_anthropic,0,17,2,True,press_kit_download_link_on_newsroom
Google / Google DeepMind / Google Cloud,03_google_google_deepmind_google_cloud,0,46,3,True,some_assets_downloadable; some_require_partner_access_or_permission
Meta,04_meta,0,26,1,True,brand_guidelines; use_requires_approval
xAI,05_xai,0,12,3,True,direct_zip_available
Mistral AI,06_mistral_ai,6,11,4,True,direct_zip_available
Cohere,07_cohere,0,9,5,True,direct_zip_available
DeepSeek,08_deepseek,0,11,2,True,no_official_download_page_found; fallback_available
Alibaba Group / Alibaba Cloud / Qwen,09_alibaba_group_alibaba_cloud_qwen,0,41,4,True,alibaba_assets_downloadable; qwen_specific_official_download_not_found
Moonshot AI / Kimi,10_moonshot_ai_kimi,0,15,3,True,downloadable_assets_on_branding_guide; fallback_available
Z.ai / Zhipu AI,11_z_ai_zhipu_ai,0,33,3,True,no_official_download_page_found; fallback_available
Baidu / ERNIE,12_baidu_ernie,0,38,3,True,no_official_download_page_found; fallback_available
Tencent / Hunyuan,13_tencent_hunyuan,0,36,3,True,no_official_download_page_found; fallback_available
ByteDance Seed,14_bytedance_seed,0,29,2,True,no_official_download_page_found; fallback_available
MiniMax / Hailuo,15_minimax_hailuo,0,11,2,True,no_official_download_page_found; fallback_available
ElevenLabs,16_elevenlabs,3,8,1,True,logo_and_press_kit_available_on_page
Deepgram,17_deepgram,0,2,3,True,direct_zip_available
Cartesia,18_cartesia,0,0,3,False,no_official_download_page_found; fallback_may_be_available
AssemblyAI,19_assemblyai,0,9,2,True,media_kit_download_on_newsroom
Speechmatics,20_speechmatics,1,0,3,True,direct_svg_png_jpg_available
Black Forest Labs,21_black_forest_labs,4,12,6,True,direct_svg_png_available
Midjourney,22_midjourney,0,6,2,True,no_official_download_page_found; fallback_available
Adobe / Firefly,23_adobe_firefly,0,18,2,True,permission_guidelines; no_public_firefly_asset_kit_found
Runway,24_runway,0,6,1,True,assets_available_on_page
Luma AI,25_luma_ai,0,9,2,True,no_official_download_page_found; fallback_may_be_available
Kuaishou / Kling AI,26_kuaishou_kling_ai,0,9,3,True,no_official_download_page_found; fallback_may_be_available
Stability AI,27_stability_ai,0,15,2,True,no_official_download_page_found; fallback_may_be_available
Ideogram,28_ideogram,0,6,2,True,no_official_download_page_found; fallback_may_be_available
AI21 Labs,29_ai21_labs,0,12,2,True,no_official_download_page_found; fallback_may_be_available
Amazon / AWS / Amazon Nova,30_amazon_aws_amazon_nova,0,33,3,True,official_logo_and_architecture_icon_downloads_available
NVIDIA / Nemotron,31_nvidia_nemotron,0,11,2,True,logos_available; usage_requires_authorization
Hume AI,32_hume_ai,0,0,2,False,no_official_download_page_found; fallback_available
Suno,33_suno,0,8,3,True,no_official_download_page_found; fallback_available
Udio,34_udio,0,9,2,True,no_official_download_page_found; fallback_may_be_available
Perplexity,35_perplexity,0,11,2,True,no_official_download_page_found; fallback_may_be_available
